datetime,weather_temp_c,weather_humidity_pct,weather_precip_mm,weather_wind_kmh,venue,weather_valid_time_utc,weather_available_at,weather_state,weather_source,weather_pit_quality
2019-03-05 16:00:00,14.5,33,0.0,4.3,東京ドーム,2019-03-05 07:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-05 17:00:00,13.5,39,0.0,6.4,東京ドーム,2019-03-05 08:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-05 18:00:00,12.2,46,0.0,7.4,東京ドーム,2019-03-05 09:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-05 19:00:00,10.9,60,0.0,8.9,東京ドーム,2019-03-05 10:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-05 20:00:00,10.5,63,0.0,7.4,東京ドーム,2019-03-05 11:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-05 21:00:00,10.0,67,0.0,6.4,東京ドーム,2019-03-05 12:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-05 22:00:00,9.5,71,0.0,3.5,東京ドーム,2019-03-05 13:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-05 23:00:00,9.3,72,0.0,4.0,東京ドーム,2019-03-05 14:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-06 00:00:00,9.2,72,0.0,4.0,東京ドーム,2019-03-05 15:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-06 01:00:00,8.7,75,0.0,3.1,東京ドーム,2019-03-05 16:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-06 02:00:00,7.9,78,0.0,2.5,東京ドーム,2019-03-05 17:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-06 03:00:00,7.6,83,0.0,3.7,東京ドーム,2019-03-05 18:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-06 04:00:00,6.8,86,0.0,3.1,東京ドーム,2019-03-05 19:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-06 05:00:00,6.3,86,0.0,2.7,東京ドーム,2019-03-05 20:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-06 06:00:00,6.0,88,0.0,2.3,東京ドーム,2019-03-05 21:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-06 07:00:00,6.1,87,0.0,1.8,東京ドーム,2019-03-05 22:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
